no_of_cylinders
6
8
6
8
4
6
8
4
6
6
8
8
6
3
6
8
4
4
4
4
6
6
6
12
4
8
6
4
6
8
8
8
6
8
4
6
6
6
6
8
8
8
6
4
8
8
8
4
6
6
8
6
6
8
4
4
6
6
10
6
6
8
6
4
6
4
8
8
8
6
4
6
6
6
8
12
6
8
8
4
6
8
12
8
4
4
12
12
6
8
4
4
4
6
8
4
6
6
12
8
6
6
8
6
6
8
6
6
6
8
6
8
6
6
4
4
6
4
8
4
6
4
6
6
4
6
4
4
4
4
4
8
8
8
8
6
8
4
8
4
12
4
6
8
6
6
6
6
6
4
8
4
8
8
4
4
6
8
6
4
8
4
6
4
None
6
8
8
6
8
12
8
12
6
8
6
4
6
6
6
6
6
8
4
4
8
12
4
6
6
6
8
6
6
4
4
4
6
4
6
12
4
4
6
Unknown
8
4
4
6
12
6
4
8
4
8
6
6
6
4
4
4
4
6
8
8
4
8
6
6
8
12
3
8
6
4
6
4
12
8
6
8
8
6
8
6
4
6
8
4
8
4
4
6
8
6
8
6
6
4
4
4
6
4
4
8
4
8
6
6
4
4
4
8
8
8
6
8
4
4
4
12
8
12
4
6
4
6
8
6
8
6
6
12
8
4
8
8
8
6
6
8
8
6
8
6
8
8
6
8
4
6
12
8
6
8
4
12
8
6
6
3
10
4
8
4
8
8
4
6
8
6
6
4
8
6
4
4

8
6
6
4
8
8
8
4
6
4
8
8
4
6
8
4
6
8
6
6
8
8
6
4
4
8
12
8
4
6
8
8
8
6
6
6
6
4
4
6
6
4
6
3
8
6
8
4
8
4
4
5
4
6
8
8
6
6
4
4
6
8
8
4
4
4
6
4
12
6
12
4
6
6
8
8
8
8
6

4
6
8
6
6
6
6
8
4
8
6
4
4
6
6
4
6
6
8
Unknown
8
6
4
4
6
6
6
6
6
3
8
8
8
12
4
8
4
8
4
6
4
6
4
8
6
4
8
12

12
8
4
8
6
6
6
8
4
8
4
4
4
4
6
4
8
8
6
12
6
4
4
4
6
6
4
6
6
6
8
Unknown
8
4
4
6
8
6
6
4
4
12
4
8
4
6
4
8
8
6
8
8
8
8
6
8
8
6
8
6
4
8
6
8
6
4
6
8
8
4
4
4
8
4
4
8
4
4
12
8
6
6
4
8
8
6
8
8
12
4
6
6
8
12
8
6
8
12
4
4
6
4
8
4
4
6
6
6
6
8
3
6
6
4
4
6
8
6
8
8
4
4
4
4
8
8
6
8
4
6
6
8
4
4
4
6
4
6
4
4
4
4
8
4
4
4
6
8
4
4
6
6
4
8
8
4
6
4
10
4
8
6
8
6
8
4
8
Unknown
6
8
8
6
12
8
4
6
4
4
6
6
6
6
6
8
4
8
6
6
8
8
6
3
Unknown
6
8
6
4
4
4
4
4
Unknown
8
4
6
6
8
6
4
4
8
6
4
8
4
4
4
8
6
8
6
8
8
6
8
4
Unknown
6
4
6
6
6
4
6
8
6
6
6
4
6
6
4
8
4
8
4
4
6
6
6
6
4
8
4
8
6
6
6
4
6
4
6
6
8
8
12
6
4
6
4
6
6
8
6
4
4
8
4
4
4
5
8
4
6
12
4
4
4
4
6
8
8
6
6
8
8
4
6
4
8
8
4
4
6
6
12
6
4
6
6
4
4
4
6
8
8
8
6
6
4
6
4
8
6
6
8
12
12
6
8
8
6
5
4
4
6
8
4
4
4
12
4
4
8
6
8
6
4
6
8
8
6
4
4
6
4
4
8
4
8
8
6
8
4
6
6
4
8
8
6
6
6
4
6
6
6
4
6
4
8
6
8
8
8
6
5
6
4
8
6
8
6
4
6
4
8
4
8
4
6
4
6
8
8
6
6
6
4
4
4
8
8
6
4
4
Unknown
4
6
8
4
6
4
6
4
6
8
8
4
6
8
6
8
4
8
6
8
6
4
8
6
4
4
12
4
4
4
8
10
4
8

6
6
8
4
8
6
8
Unknown
6
6
4
6
6
6
6
6
4
4
4
6
6
6
6
8
4
8
6
6
8
6
4
6
6
8
4
8
8
12
8
6
6
6
6
6
4
6
4
8
4
8
4
8
4
4
8
6
6
8
6
4
8
4
12
4
8
4
6
4
8
6
8
4
4
10
4
4
6
6
4
8
4
4
8
8
6
4
8
8
8
4
4
6
8
4
4
4
8
6
8
6
8
8
4
6
4
4
6
6
4
8
4
8
8
4
4
4
8
6
8
8
4
6
4
6
8
8
8
4
8
4
6
8
6
Unknown
6
8
4
8
4
6
12
4
6
4
6
4
4
6
12
6
4
8
6
6
4
8
8
6
6
4
4
4
4
6
6
6
8
8
4
6
4
4
6
6
8
8
6
6
8
4
6
4
4
4
6
6
4
4
8
4
4
4
6
8
4
8
4
6
4
6
6
4
12
6
4
4
8
4
4
6
6
6
4
8
12
6
4
12
4
8
4
6
8
6

4
6
8
8
6
4
8
6
4
6
4
6
4
4
4
4
4
4
6
6
Unknown
4
8
4
4
8
6
4
4
6
4
8
4
6
4
4
6
6
6
4
8
4
8
6
8
4
4
6
12
8
8
6
6
6
6
Unknown
6
6
6
4
8
4
4
Unknown
4
6
4
6
12
6
8
6
Unknown
4
8
6
6
4
8
8
6
6
6
4
8
4
8
4
4
8
4
6
6
6
4
6
6
4
8
6
8
8
6
8
6
8
6
6
4
6
8
6
6
4

8
6
12
4
4
8
8
4
4
12
4
10
4
4
6
8
6
6
4
8
6
4
4
6
8
6
6
8
4
6
6
8
10
4
6
6
4
6
6


8
4
12
4
4
8
6
8
6
4
6
8
8
6
6
6
4
8
8
4
6
6
6
12
8
None
8
Unknown
6
8
6
12
6
4
8
8
4
6
8
8
8
8
6
6
6
6
6
6
6
6
6
8
8
8
4
8
6
6
6
6
6
8
8
8
4
8
8
8
4
6
4
12
6
4
8
6
6
4
8
4

6
6
6
8
8

4
4
4
4
4
6
4
6
6
8
12
6
4
8
8
8
4
6
8
6
5
6
8
8
6
4
6
4
4
4
6
8
4
6
4
4
8
6
8
4
4
6
6
6
8
4
10
6
4
4
6
8
4
6
6
8
8
4
6
6
6
8
8
4
4
6
6
6
6
6
4
8
8
8
8
4
6
8
6
4
8
6
8
8
6
8
8
12
4
4
8
8
4
8
8
8
6
4
4
6
4
4
4
8
4
3
6
8
4
8
8
4
6
4
8
4
4
6
6
8
6
8
4
8
8
8
6
8
6
6
6
4
6
6
8
8
8
8
4
8
4
4
8
6
6
8
4
8
8
6
8
6
8
8
4
8
6
4
6
4
4
8
8
6
4
6
4
6
8
8
6
8
6
4
12
4
8
8
6
4
6
6
6
Unknown
4
4
12
4
8
8
8
4
8
4
6
8
4
6
8
6
4
6
4
6
6
4
4
6
8
6
4
6
4
6
4
6
6
8
8
8
6
8
8
4
6
4
8
8
6
4
6
6
6
8
6
6
6
6
8
4
8
4
8
8
4
4
6
4
6
8
6
6
6
6
4
8
12
8
12
6
8
6
4
6
4
6
8
8
8
6
4
4
8
6
8
8
6
6
8
8
4
6
6
4
8
12
8
8
6
6
8
6
6
8
6
4
4
4
12
8
4
8
8
4
4
6
8
8
8
8
8
6
4
6
6
8
6
6
8
4
8
6
4
8
6
6
6
6
8
12
4
6
10
4
4
8
6
6
8
6
6
6
6
6
8
6
8
4
8
4
4
8
8
8
6
4
4
6
8
8
6
6
6
6
8
6
8
6
8
4
6
6
6
8
8
8
4
6
8
6
4
8
6
6
6
6
6
6
6
4
4
6
8
4
8
6
6
8
8
6
6
6
4
8
8
6
4
6
6
6
4
6
4
8
4
6
4
12
8
6
6
6
8
6
8
12
4
4
4
4
8
12
8
6
8
6
8
6
4
8
4
8
6
8
8
4
6
8
4
6
6
6
6
8
6
8
6
6
6
4
6
8
6
8
8
6
4
8
6
6
4
4
8
6
8
6
6
6
8
6
8
4
12
4
12
8
4
4
8
8
6
8
4
4
8
4
4
6
8
4
8
12
12
4
4
4
6
6
8
4
6

6
8
8
4
6
8
6
4
8
4
8
6
6
6
6
4
4
4
4
6
4
4
8
4
6
8
6
8
4
8
8
4
6
4
4
6
6
4
6
8
4
8
3
6
8
6
4
6
8
12
3
12
6
4
4
8
4
8
4
4
4
6
8
6
4
8
4
4
4
8
8
6
6

4
6
4
10
6
5
6
8
6
4
6
8
4
6
6
8
4
5
4
8
4
8
4
6
8
4
12
6
4
6
4
8
6
8
8
6
8
4
4
4
12
6
8
4
